address,postcode,source,price_pcm,size_sqft,bedrooms,bathrooms,url,ppsf,district,tier_num,tier,location_score,size_score,ppsf_score,comp_score
Ebury Square,,foxtons,8667,1361,2,2.0,https://www.foxtons.co.uk/properties-to-rent/belgravia/chpk4113965,6.368111682586334,,4,Tier 4: Broader Market,20,40.66310975609756,43.61302551880414,52.13806763745085
"Latitude House, Oval Road, London, NW1",NW1,knightfrank,6933,1117,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/latitude-house-oval-road-london-nw1/bpq012585387,6.20680393912265,NW1,3,Tier 3: Prime Central,50,12.842987804878053,41.24175650564612,52.042372155262086
"Strathmore Gardens, London, W8",W8,knightfrank,5308,1336,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/strathmore-gardens-london-w8/keq012515561,3.9730538922155687,W8,3,Tier 3: Prime Central,50,45.426829268292686,8.405005115818781,51.91591719205574
"Onslow Square - London , ,",,rightmove,9000,1249,2,2.0,https://www.rightmove.co.uk/properties/169660751#/?channel=RES_LET,7.205764611689352,,4,Tier 4: Broader Market,20,37.99542682926829,44.073241786706674,51.03433430798748
"Bryanston Square, Marylebone, London, W1H",W1H,knightfrank,4996,1331,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/bryanston-square-marylebone-london-w1h/mrq012531261,3.7535687453042823,W1H,3,Tier 3: Prime Central,50,46.37957317073171,5.178511975789562,50.77904257326063
"Egerton Gardens, Knightsbridge, London, SW3",SW3,knightfrank,8016,1470,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/egerton-gardens-knightsbridge-london-sw3/knq012510021,5.453061224489796,SW3,3,Tier 3: Prime Central,50,19.893292682926834,30.1615274681301,50.02741007552847
"Leinster Gardens, W2 3AN",W2 3AN,savills,8645,1225,2,,https://search.savills.com/property-detail/gbnnrenhl220047l,7.057142857142857,W2,4,Tier 4: Broader Market,20,33.422256097560975,46.258023209283714,49.84013965342234
"Cranley Gardens, SW7 3BB",SW7 3BB,savills,6392,1140,2,2.0,https://search.savills.com/property-detail/gblsrecel110140l,5.607017543859649,SW7,3,Tier 3: Prime Central,50,17.22560975609756,32.42472848788638,49.82516912199196
"First Street, London, SW3",SW3,knightfrank,6716,1101,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/first-street-london-sw3/knq012511073,6.099909173478656,SW3,3,Tier 3: Prime Central,50,9.794207317073173,39.67037350816802,49.7322904126206
"Mount Street, London, W1K.",W1K,knightfrank,6045,1173,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/mount-street-london-w1k/pod012500304,5.153452685421995,W1K,3,Tier 3: Prime Central,50,23.513719512195124,25.757198019872916,49.63545876603402
"Thurloe Close, SW7 2SE",SW7 2SE,savills,5417,1227,2,2.0,https://search.savills.com/property-detail/gbkbreknl250054l,4.414832925835371,SW7,3,Tier 3: Prime Central,50,33.80335365853659,14.89928065765833,49.35131715809746
"Thurloe Close, South Kensington, SW7",SW7,rightmove,5416,1227,2,2.0,https://www.rightmove.co.uk/properties/169526552#/?channel=RES_LET,4.414017929910351,SW7,3,Tier 3: Prime Central,50,33.80335365853659,14.887299989270364,49.34532682390348
"Heysham House, Heysham Lane, Hampstead, London, NW3",NW3,knightfrank,3748,1305,2,2.0,https://www.knightfrank.co.uk/properties/residential/to-let/heysham-house-heysham-lane-hampstead-london-nw3/haq012556647,2.8720306513409963,NW3,3,Tier 3: Prime Central,50,48.666158536585364,0.0,49.33307926829268
"Holland Street, Kensington, London, W8",W8,knightfrank,11266,1547,2,2.0,https://www.knightfrank.co.uk/properties/residential/to-let/holland-street-kensington-london-w8/keq012571419,7.282482223658694,W8,3,Tier 3: Prime Central,50,5.221036585365857,42.94547140123018,49.083253993298015
"Montrose Court, SW7",SW7,rightmove,6283,1128,2,2.0,https://www.rightmove.co.uk/properties/169548464#/?channel=RES_LET,5.570035460992908,SW7,3,Tier 3: Prime Central,50,14.9390243902439,31.881081510618426,48.410052950431165
"Lancer Square, London, W8",W8,knightfrank,13000,1407,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/lancer-square-london-w8/keq012502338,9.23951670220327,W8,3,Tier 3: Prime Central,50,31.897865853658537,14.176516377695354,48.03719111567695
"20 Palace Street, Westminster, London, SW1E 5BA",SW1E 5BA,savills,4251,1088,2,1.0,https://search.savills.com/property-detail/gbwpresll090075l,3.907169117647059,SW1E,2,Tier 2: SW1 Area,80,7.3170731707317085,7.436480474542756,47.37677682263723
"Palace Place Mansions, Kensington, W8",W8,rightmove,5416,1195,2,2.0,https://www.rightmove.co.uk/properties/168187130#/?channel=RES_LET,4.532217573221757,W8,3,Tier 3: Prime Central,50,27.705792682926834,16.624867855091825,47.16533026900933
"Walton Street, Chelsea, SW3",SW3,rightmove,12500,1260,2,0.0,https://www.rightmove.co.uk/properties/168574283#/?channel=RES_LET,9.920634920634921,SW3,3,Tier 3: Prime Central,50,40.09146341463415,4.163887777333153,47.12767559598365
"Durham Terrace, London, W2",W2,rightmove,7418,1237,2,2.0,https://www.rightmove.co.uk/properties/168731774#/?channel=RES_LET,5.996766370250606,W2,4,Tier 4: Broader Market,20,35.70884146341463,38.15414540917418,46.9314934362944
"Oakley Street, London, SW3",SW3,knightfrank,5997,1410,2,1.0,https://www.knightfrank.co.uk/properties/residential/to-let/oakley-street-london-sw3/chq012514272,4.253191489361702,SW3,3,Tier 3: Prime Central,50,31.326219512195124,12.523106263782113,46.92466288798862
"Park Street, W1K 7JB",W1K 7JB,savills,13000,1432,2,3.0,https://search.savills.com/property-detail/gbmyremfl220018l,9.078212290502794,W1K,3,Tier 3: Prime Central,50,27.134146341463417,16.547736413000948,46.840941377232184
"Cavendish House, NW8 9SQ",NW8 9SQ,savills,5352,1192,2,2.0,https://search.savills.com/property-detail/gbsjrestl160138l,4.489932885906041,NW8,3,Tier 3: Prime Central,50,27.134146341463417,16.003271107100563,46.56870872428199
